,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,4.717088468564797,5.620757591306915,7.386927630321163,0.6020754070868712,0.7174170968967162,0.942845886776435,0.96,0.975,0.975,0.4605492319683578,0.4624420243645437,0.4634046908660034,0.5476954753068073,0.5478185278991218,0.5478727408374804
GP,1.5,1.0,2.000406429953925,2.383631280564828,3.1326225123343328,0.7925657900690071,0.9444003882538885,1.2411524974619308,0.915,0.94,0.95,0.3557330347184213,0.35182030151352833,0.3499672895222561,0.4069572067305867,0.40668128466837034,0.41145552901894855
GP,2.5,1.0,1.6317653373776884,1.9443683255929465,2.5553331333942526,1.0366432695752015,1.2352366434871744,1.623376127423237,0.85,0.885,0.945,0.28112803400900166,0.27924060293310266,0.2791865619838399,0.3614126374940184,0.36353660019445094,0.3613321637557076
J+,0.5,1.0,1.358538062580256,1.836906519754226,3.1990333920071237,0.0054707731673033,0.012534203705980558,0.042178070653970834,0.845,0.92,0.97,0.08891530453477699,0.33964629533569224,0.0475754859488518,0.1210102053204269,0.4170717262729837,0.15574276968949755
J+,1.5,1.0,2.4380562246496775,3.6105684199638994,7.390745191297852,0.009146513642722068,0.01899264654650077,0.05883830787961832,0.855,0.9,0.975,0.27719767291360925,-0.22517471904221364,0.05496081751330153,0.2915487237711023,-0.37758610561154826,0.014503856410469024
J+,2.5,1.0,1.5291136016569125,2.0303878739511183,3.943030457960067,0.009008513485456953,0.01293754087862861,0.014795493240800575,0.84,0.905,0.975,-0.35039733699506,0.04818547613967295,0.200287366224658,-0.4102066424020423,-0.05752059453952878,0.3251249035322041
J+GP,0.5,0.5,1.3278240831168626,1.7633578403871053,3.1162035722580215,0.3745415393668289,0.4999564765762896,0.8831622467759128,0.855,0.91,0.96,0.2837576208466861,0.28084105948673815,0.28828639114250043,0.3637364399390172,0.35828974609710523,0.3850827294312009
J+GP,0.5,1.0,2.314522975270466,3.1980357014012655,6.366608250161488,0.2963616929369987,0.4082500499871537,0.810010255407936,0.845,0.895,0.975,0.4702115063838541,0.46451861549507123,0.4579134017783943,0.5515404215584502,0.5516788549749002,0.5358021048919266
J+GP,0.5,1.5,2.283798055549178,3.046519353939274,6.126191655635605,0.44867315409418135,0.5989760766581477,1.2005117672728527,0.835,0.895,0.975,0.46645262944603155,0.46112106853376605,0.4603569285029371,0.5504679954070424,0.5543970899363501,0.5531944314249383
J+GP,1.5,0.5,2.346572231312652,3.3962711113169166,6.889373572387833,0.1472107426753038,0.20603899198575215,0.42054147406006454,0.84,0.885,0.975,0.46350281402637816,0.4491432302003847,0.4530387495614151,0.540242275562649,0.533714658169951,0.5174082916437744
J+GP,1.5,1.0,1.522662387299635,2.0579068007222863,3.2149210921668874,0.6040256974827076,0.8172510001101383,1.2700743965646697,0.84,0.925,0.955,0.3502451535120675,0.34381091360408644,0.35256538542296895,0.40944807247336934,0.4061329014438045,0.40811145397589227
J+GP,1.5,1.5,1.701607901031612,2.2699173063515707,3.7730821022845418,1.1159209075798695,1.4915442446111125,2.479092076196718,0.865,0.925,0.97,0.35457933667904296,0.35709698813412355,0.35368242165180014,0.3991730695179135,0.39940068429830006,0.4005057780310452
J+GP,2.5,0.5,1.4379471972392814,2.002013813066956,3.564547658154704,0.263858769143517,0.36660833792815656,0.6441898801985133,0.835,0.91,0.975,0.3672077875955081,0.342347269564074,0.34651192955726984,0.4136367987917941,0.3933641157362155,0.3859156593178589
J+GP,2.5,1.0,1.509277361780728,2.0712296840711417,3.6887766035044787,0.9605614616730017,1.3064919406005535,2.3360684755759142,0.845,0.905,0.97,0.28258762588661573,0.27790082722874715,0.2907139597770579,0.36322500136630814,0.3620875814954402,0.369527634783633
J+GP,2.5,1.5,2.0464553730343447,2.9539057941089033,5.908298782341441,2.25210842726783,3.2636419244380197,6.5072490449874945,0.86,0.925,0.98,0.28507572144924875,0.2810069445345084,0.2763906423659111,0.34590166820872875,0.33961132945899153,0.3421440791202837
J-minmax-GP,0.5,0.5,1.747884303939438,2.1962193577315903,3.521018490727518,0.7119781924290073,0.8160969444589379,1.153557419537507,0.915,0.96,0.985,0.49053156299039036,0.4564457885040276,0.4034764710207186,0.6497416723316203,0.6164779459232345,0.5651254062334998
J-minmax-GP,0.5,1.0,2.637617668111818,3.523021738985889,6.700194719052993,0.5758294801076321,0.6693879095891729,1.0388309846923724,0.87,0.92,0.975,0.617691923920584,0.5930068098452401,0.5463411967046952,0.7559530811822276,0.7415588533552763,0.6920171615685571
J-minmax-GP,0.5,1.5,2.6116368335966045,3.3763815210290886,6.4598012346134235,0.7052056054871609,0.8403003931705458,1.4147998432946172,0.865,0.91,0.975,0.587649924682347,0.5676864181971526,0.5274500640373635,0.7381432109505672,0.7200349553396361,0.6612310373449178
J-minmax-GP,1.5,0.5,2.6739222332477706,3.731560043888952,7.227899417711368,0.46365425299451696,0.5104472883508487,0.6889454962417954,0.87,0.925,0.975,0.6599761117250798,0.6404348102971534,0.5857263712938005,0.7578680002806037,0.7594093260383656,0.73581291605697
J-minmax-GP,1.5,1.0,1.8515589309151905,2.386639878659151,3.5432777158820814,0.8144376470888531,1.0098213872511368,1.449538261329411,0.9,0.95,0.985,0.5219626319834316,0.48577529809865605,0.4500848296212673,0.6025404043241966,0.5690708499521991,0.5337418966112353
J-minmax-GP,1.5,1.5,2.0215203018815635,2.591417081936652,4.093563930708189,1.2917143028176652,1.6572657348217608,2.628486388402256,0.92,0.95,0.995,0.4842289995338819,0.45756090546538464,0.42143920784244926,0.5359373969454633,0.5072656009348477,0.46924558533062705
J-minmax-GP,2.5,0.5,1.7534241558559285,2.3349656431889336,3.895763857093633,0.5256885850986412,0.6092150944936348,0.8588173311969671,0.885,0.945,0.985,0.5962224654854734,0.55727031291131,0.4888375815452021,0.6660790616941878,0.644397778687695,0.5932187665455586
J-minmax-GP,2.5,1.0,1.935490224724731,2.494596009591054,4.098080433729893,1.2258961317217534,1.5624806271572491,2.5607788532143227,0.9,0.965,0.995,0.4274050183545852,0.39630331669139734,0.3534989903976212,0.5501391871774409,0.5148480667750042,0.46171104046222994
J-minmax-GP,2.5,1.5,2.4678496369903815,3.387342998661002,6.3293719962682955,2.4646701432914617,3.467105036756138,6.697500899178567,0.93,0.97,0.995,0.38650732609610555,0.35918983484670197,0.3270537523269723,0.4480910991859831,0.4162093297419283,0.3823106496063102
