,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.18966288808858683,0.22599727037501802,0.29701075945568667,0.014837619387194172,0.01768011398625917,0.02323560843725313,0.9416666666666667,0.9666666666666667,0.9833333333333333,0.2802127194532004,0.28224673778543174,0.2800546019480851,0.3326021469364749,0.32617057997520044,0.32948202981240143
GP,1.5,1.0,0.13547398086528073,0.16142720482085327,0.21215130882372937,0.027625387705857325,0.03291767977116992,0.043261164403138826,0.925,0.9416666666666667,0.975,0.23710830557454254,0.23668904910183625,0.2385585993480545,0.1568201649078483,0.160816956560007,0.15837669807477855
GP,2.5,1.0,0.12200189406736114,0.14537422327412566,0.19105411489386526,0.03385827652473819,0.04034462488317367,0.053021824806211454,0.9,0.925,0.975,0.30342823196756574,0.3011098495796635,0.30487638110097637,0.18684076482408354,0.18492110400342301,0.18731353780947868
J+,0.5,1.0,0.13399301363447202,0.1823394633094915,0.2760095572082732,0.0025979076223891515,0.0026561744580697317,0.005539134061667314,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.1969763479338643,0.15760673495549252,0.1272041094784853,0.13517326113561426,0.10146508649087946,0.1496539162131252
J+,1.5,1.0,0.13428380088093134,0.20417575172522576,0.32103605570425786,0.0018720932777540954,0.0019621306364911574,0.003010451439955588,0.85,0.9416666666666667,0.9833333333333333,0.050337219504386396,0.14543095919805596,0.09346470589072202,0.041967541505266416,0.13453372748948186,0.13392045825803667
J+,2.5,1.0,0.12732247495457974,0.17445559816860748,0.30252039604732,0.0022702610304208446,0.003207491391207194,0.0034663637893546147,0.8833333333333333,0.95,0.9916666666666667,-0.047277152332001235,0.19634126440946495,-0.0076206196264290834,-0.09171251485505603,0.11682188790822783,0.12474829169805586
J+GP,0.5,0.5,0.1609156953352874,0.20801045100407062,0.31641756045211766,0.02682032664119847,0.03286376892991881,0.047235921764184945,0.9666666666666667,0.9833333333333333,0.9916666666666667,0.33208584911073646,0.32382196535902963,0.3064953872549584,0.1784885525085955,0.1933684782709276,0.18392907577360132
J+GP,0.5,1.0,0.15734407918288074,0.21015471143832595,0.3236521438380612,0.014612612803051669,0.018522438464050196,0.026657814359297656,0.9083333333333333,0.95,0.9916666666666667,0.2559938163585063,0.26836028187800526,0.2815006074657252,0.2996146751632717,0.3160687757044724,0.33140853410629767
J+GP,0.5,1.5,0.1548413457078993,0.20939227585768036,0.3126715752725947,0.018887987257335925,0.025528802959419013,0.036352746322444146,0.9166666666666666,0.9583333333333334,0.9916666666666667,0.2695647849514617,0.2779748937747941,0.28283308515701994,0.32188177252316275,0.3390369289417248,0.3473538008987035
