,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.1763482553339411,0.21013190689288933,0.27616013745902185,0.009445409338591369,0.011254899414477533,0.014791445122962222,0.9416666666666667,0.975,0.975,0.24432867358025037,0.24735721420769746,0.2498220087352105,0.27648983737399996,0.2776879421048025,0.27149948887880965
GP,1.5,1.0,0.1496453332757054,0.1783134127371986,0.23434354782395203,0.011272016488543524,0.01343143607959394,0.017651899175423348,0.9083333333333333,0.975,0.9833333333333333,0.2645883747716834,0.2726421920986927,0.26491271351629525,0.2106366076004006,0.20471500566057277,0.2035770079025527
GP,2.5,1.0,0.14551053803576502,0.17338650032326502,0.22786848732695672,0.011123302426569925,0.013254232345056703,0.017419013991960948,0.9083333333333333,0.9583333333333334,0.9833333333333333,0.27030116411812366,0.27533698395252465,0.2710632347418135,0.18472733126861504,0.19291218467003454,0.187574245732349
J+,0.5,1.0,0.12939003728137619,0.17031724106952784,0.30084460554557574,0.0006553222502038794,0.0010479546898273851,0.0030589840369963507,0.8833333333333333,0.95,0.9916666666666667,-0.07476713392226274,-0.03416318783184472,-0.04837876724246954,-0.09091399714829819,-0.0032591794675215216,0.044119085784294874
J+,1.5,1.0,0.1300861325343689,0.19320242330133333,0.309479799235766,0.0007140944311682627,0.0007989551112871057,0.0010134263367281952,0.875,0.9416666666666667,0.9833333333333333,0.04538262768933612,0.08620004786328907,-0.12295762896466446,0.04801110356459939,0.025570559988512768,-0.10916122732960314
J+,2.5,1.0,0.12345666957249464,0.1738950560403752,0.3010634162078094,0.0012550410818145765,0.0006580745043272535,0.0024041773420504405,0.875,0.9416666666666667,0.9916666666666667,0.1250882888794858,0.11358573962461255,-0.04806269147443051,0.04037191306050554,0.14809606593637287,0.05706817332248429
J+GP,0.5,0.5,0.12419535795761102,0.16468015584279647,0.29041255043131237,0.004640547001944644,0.0061378049779169845,0.010978270621855366,0.875,0.9416666666666667,0.9833333333333333,0.25739312354927757,0.2750814483703207,0.2659539088326032,0.18549811098283162,0.20009139600224496,0.1993138915038049
J+GP,0.5,1.0,0.12688679346383852,0.1859788805349995,0.2944458231056864,0.006906355476109853,0.01000247403280813,0.016093828371088286,0.8666666666666667,0.9416666666666667,0.9916666666666667,0.2468535502237914,0.23837226869682207,0.2678638827997574,0.2768792892885493,0.2561197657233768,0.2790678377807803
J+GP,0.5,1.5,0.1243739874464582,0.1832312854274179,0.29045548072527794,0.010178297854447292,0.014954667438945518,0.023797756758549053,0.8666666666666667,0.9416666666666667,0.9833333333333333,0.25080444673818697,0.24403735285792644,0.24753810456139833,0.2779811351736066,0.2651570961039738,0.2816334980118495
J+GP,1.5,0.5,0.12991539213868503,0.18900187763281223,0.3005341184576693,0.0036207928166568024,0.005028463619042102,0.008215751334024446,0.875,0.9416666666666667,0.9833333333333333,0.23870790515994633,0.24338576418556052,0.27279633581849005,0.2592042790960281,0.2681103455645333,0.2883567738371957
J+GP,1.5,1.0,0.12112590369337083,0.1632822771413159,0.2833599571715723,0.00913077067100492,0.012355562836867173,0.02140886634360894,0.875,0.9416666666666667,0.9833333333333333,0.26462470422671286,0.2807429767208968,0.26377188438067967,0.21178930905962967,0.22303480264147357,0.20418305888919805
J+GP,1.5,1.5,0.11717888695817248,0.1602578050167042,0.2765976352941641,0.013499961985849941,0.018612469014660713,0.03191361113912297,0.875,0.9416666666666667,0.9833333333333333,0.2721521140842825,0.2811848598595107,0.2693455537428436,0.20706088611032483,0.2208106057976299,0.21035938225097336
J+GP,2.5,0.5,0.12199026916942274,0.16930998131953068,0.29583486360221206,0.004802937467244767,0.006318224689439463,0.011096289556427184,0.8833333333333333,0.95,0.9833333333333333,0.2803231465592133,0.2912416694192704,0.2458040906289462,0.18171679447807784,0.22313037472985117,0.20303077642021924
