,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,76.54577381952564,91.20991521481163,119.87014773623825,43.04702193673086,51.29369036567001,67.41133601088201,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.6458374381520122,0.6412148279366612,0.6453782533736547,0.7376496012093077,0.7273346998858191,0.7343528999927804
GP,1.5,1.0,29.530921792363248,35.18826368190183,46.24521748756447,57.953155338783716,69.05544383605042,90.75423691737683,0.8809523809523809,0.9047619047619048,0.9285714285714286,0.6884172331259211,0.6911475081549168,0.6820558131914549,0.8043446514285725,0.8109798882024533,0.8081404464674522
GP,2.5,1.0,43.74832548756566,52.12934508858526,68.5095724784461,106.72873785788995,127.17513515447439,167.13645883169676,0.8333333333333334,0.9047619047619048,0.9523809523809523,0.6718120384936705,0.6672061400778333,0.6730723026384448,0.8135710906121396,0.8177955841638416,0.8202257652609088
J+,0.5,1.0,31.78842699885363,45.73495271169728,550.8730389483311,37.1593176629722,48.18829850415543,12.019826169919547,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.28852834752702683,0.39950620812006066,,0.8521434960840327,0.8657582228250388,
J+,1.5,1.0,43.04185438631686,70.60602130814408,667.3271225621079,33.30222108966695,42.20026005331398,3.840511301950183,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.20477193811941788,0.12099818112570787,,0.8635478631618152,0.8301653854542176,
J+,2.5,1.0,33.010615260133456,47.61668070552381,501.0193567094095,32.6355338177188,41.27762130514081,15.89485230898116,0.8809523809523809,0.9285714285714286,0.9523809523809523,0.4842998602859918,0.425273343373653,,0.8746562645479192,0.8909891887562608,
J+GP,0.5,0.5,45.94999856868399,51.66584023924146,114.82188990907146,101.73040508751897,106.14055938610356,170.8345617337584,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7319246817441708,0.7275042214103329,0.6901439398845565,0.8684812943803051,0.8629443260276212,0.8256559289730905
J+GP,0.5,1.0,54.488169109110785,64.57270127368795,249.0587628447214,85.40698437460068,90.35745170006568,191.67879612173806,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7433873368297643,0.7480663405708176,0.6981257001776519,0.8635433869799222,0.8656215963236614,0.8204276905521648
J+GP,0.5,1.5,53.186531563541266,64.16334531979567,180.07930450823068,95.03755950955986,105.29352059217791,212.92628164352132,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.7487738814379311,0.7478963611256638,0.7163708390446851,0.8728081454751327,0.8728930889851724,0.8416338344230005
