,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,60.02634414925859,71.52580067212534,94.0008361297993,27.416388634893206,32.668642017791704,42.93387331620994,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.7172645540099664,0.7194528686687012,0.7163715813823955,0.7958979452385359,0.799222925426748,0.7984745820741
GP,1.5,1.0,28.977625482063974,34.52897046383272,45.37875932602229,27.73223312673354,33.04499394271632,43.42848358676312,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.48506066091284994,0.4840830225909065,0.48512244090605844,0.8032574286029769,0.7951229736793023,0.7935169219914798
GP,2.5,1.0,24.63559592085253,29.355123125480002,38.57917132780464,27.416407507981738,32.66866450646376,42.933902871334915,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.614899400064769,0.6212320188427064,0.628199580729643,0.8193786933443115,0.8258558312127153,0.8235879959448694
J+,0.5,1.0,29.753444457930847,40.75176296887106,358.6093752378644,0.2895458482291999,0.42986879548823465,10.044803980493016,0.9047619047619048,0.9047619047619048,0.9761904761904762,-0.25256163748660737,,0.576756151280376,-0.18231549677845327,,0.5400773609746001
J+,1.5,1.0,30.4453281116436,51.97167251302079,278.9650803109151,0.2937385173240778,0.9149281745340018,1.9303106998856205,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.14683152000258187,0.0694219976182542,,-0.3893343082873133,-0.5432293715800957,
J+,2.5,1.0,32.19997971549355,51.96065896160772,267.52151295847113,0.42221854820274135,2.2527768684618352,4.770673981169093,0.9523809523809523,0.9523809523809523,0.9761904761904762,-0.32254699687937216,-0.3359784190797331,,-0.4403469665565925,,
J+GP,0.5,0.5,25.10155347851687,35.76556980962043,225.65351819895122,5.018430069374621,6.876553871243142,50.58722779418621,0.8809523809523809,0.9047619047619048,0.9761904761904762,0.7119876119705826,0.7518511954640897,0.7152816372102023,0.7233783519290937,0.7248192340848603,0.7348487477290933
J+GP,0.5,1.0,25.029113323553474,31.72311120765101,148.3048109254584,11.154209894823193,14.230504667930228,72.90188539859626,0.8571428571428571,0.9285714285714286,0.9761904761904762,0.6869643991222063,0.7262688964534724,0.719971386967166,0.7886336829695423,0.8032777207745556,0.7955676876089928
J+GP,0.5,1.5,23.971047499108554,30.207646242817333,102.85969241908151,19.239081231545942,23.929759143405324,86.24725446804439,0.8809523809523809,0.9523809523809523,0.9761904761904762,0.7148046980712272,0.7283542696688621,0.715641330602566,0.8525012693787032,0.8488309934232698,0.8436698175934745
J+GP,1.5,0.5,25.807183135858644,35.27449723393613,130.01399597836357,9.239078901627808,12.50197770873545,47.162282449614736,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.48428222486448985,0.4829994738786091,0.49297048679487704,0.7290384486054228,0.7072942501712497,0.7224113712192167
J+GP,1.5,1.0,23.075867026110064,27.49103732265625,69.35115001536691,22.436146050334578,26.349731168171328,66.67812624443731,0.9285714285714286,0.9523809523809523,0.9761904761904762,0.4892541979172893,0.49034749745841283,0.48662229373636084,0.8009563548565649,0.7704403848618055,0.7850772164083811
J+GP,1.5,1.5,23.38184257233358,29.66587843092973,69.4818862224981,43.375206560316116,55.92348840074174,123.79954301307765,0.9285714285714286,0.9523809523809523,0.9761904761904762,0.4815708691330437,0.49104013791246187,0.4774788339463025,0.8427182102483679,0.8337236794897604,0.8289503105896434
J+GP,2.5,0.5,26.083176684502195,35.82979001630246,117.61757526226168,9.810204954442382,14.37524674794862,46.92870116951459,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.6184758345592981,0.616112999557651,0.6362527899735079,0.7428191593539412,0.7357180148277261,0.7401224426370464
J+GP,2.5,1.0,21.207557783478492,29.459953232844793,60.99012320774091,23.505842899956303,32.38702454839896,68.14672358225384,0.9285714285714286,0.9761904761904762,0.9761904761904762,0.6194380837091799,0.6238077030513944,0.6349852778825344,0.8225170411483178,0.8105563313260927,0.8180375575552542
