,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,91.63960600524645,109.19532558079861,143.50698362836977,21.339769145989333,25.42790329742338,33.417929593579395,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.7171066819415772,0.7141858706311712,0.7199998085465544,0.8333682415244097,0.8371336044509704,0.8311668513329484
GP,1.5,1.0,72.94176528424165,86.91547416948698,114.2262955153995,19.584268403677093,23.336095142954186,30.668827679368093,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.48185893349230075,0.489539583222488,0.48944327286471,0.8438087287883557,0.8547732909664734,0.8491865370551445
GP,2.5,1.0,70.89913170574854,84.48152613796601,111.02754558307453,19.259340378305485,22.9489195202355,30.159992658681396,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.6222866438255502,0.6144315845471928,0.6166947820970341,0.8513354800419017,0.8610098393267334,0.8561889024133432
J+,0.5,1.0,29.753448055293017,40.75176524027895,358.6335338944128,0.2895581789878071,0.4298686476680724,10.059590404025007,0.9047619047619048,0.9047619047619048,0.9761904761904762,-0.2905150062597395,,0.5725782687096208,-0.18880328579096645,-0.028710419586191874,0.5565887563367177
J+,1.5,1.0,30.448422511142628,51.97906892485873,278.9514780238736,0.2754630165378858,0.9271798014459424,1.9345035441549805,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.15435010895118453,0.11358181196121567,,-0.31588765317592665,-0.530924754364934,
J+,2.5,1.0,32.1992037614422,51.95516607207254,267.52354746178145,0.42356021410433153,2.2554242367105815,4.7707020972814265,0.9523809523809523,0.9523809523809523,0.9761904761904762,-0.3286406708382242,-0.3980697545057048,,-0.44941582285501336,-0.4791930362420202,
J+GP,0.5,0.5,28.1415283647619,38.662118948906176,268.9553043018451,2.9230130756161197,3.9234481399378396,33.99743187151975,0.9047619047619048,0.9047619047619048,0.9761904761904762,0.6295239028742852,0.7576466066445283,0.7173142265427446,0.7972226295277268,0.8150547257013392,0.7865272178376381
J+GP,0.5,1.0,25.389593328535675,36.99249372510215,204.51990279294725,5.955268767909136,8.263615118005653,52.820613169278815,0.8809523809523809,0.9047619047619048,0.9761904761904762,0.7406372898793382,0.7458282908078124,0.7155222657668678,0.8234871655318131,0.8316471141151298,0.8329759283590259
J+GP,0.5,1.5,25.983375760042318,32.638895880046185,157.89375254922638,10.086633092283538,13.44953010679602,67.46586847822789,0.8809523809523809,0.9047619047619048,0.9761904761904762,0.6835132560257802,0.731195118184201,0.7149059084110562,0.8572468492367085,0.8609688186914236,0.8563283486134937
J+GP,1.5,0.5,29.925315972532513,48.12323526816702,204.41869252688997,3.348940655271276,4.252974452113554,21.963376723438444,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.4842663102982442,0.3763031544588426,0.49838351050179747,0.8497302090265995,0.7849645067344313,0.8224908683295942
J+GP,1.5,1.0,30.04526188391931,42.48321478263393,151.8056639583558,8.096337147208724,11.195255607647043,40.479672321509476,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.4783594194193346,0.4632684571471714,0.4818897150179163,0.8710204682410512,0.825271049136173,0.8364053805883446
J+GP,1.5,1.5,29.620927087490838,39.03865656529644,114.96415624508556,14.217343538765965,20.05592355925128,57.2361897462307,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.49892250858186754,0.46279005206107443,0.4879147276996134,0.8401960674734366,0.8517025403093553,0.8388489755907249
J+GP,2.5,0.5,32.12551494504179,49.002421674049025,198.38989525531656,3.0641170306932044,3.784856586465848,21.09967563748332,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.5207252723328165,0.38721402412479183,0.6283371075599481,0.8682138152741631,0.7331265881355848,0.8048720129411511
J+GP,2.5,1.0,31.355281430049256,42.25721176246734,148.85920264747645,7.765338324790741,11.392663225342709,40.22217344111418,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.6000054799150831,0.5986988324604202,0.6306833779883175,0.8760515866365187,0.8440740217714578,0.8368842052170127
J+GP,2.5,1.5,29.584662209689927,38.568655669015975,113.99988866131972,15.69308167377,20.512969281011852,59.01896272800727,0.9523809523809523,0.9523809523809523,0.9761904761904762,0.568473751232298,0.5876342011199991,0.6308147938887391,0.8723569422562137,0.8426398822254882,0.8395858059508927
