,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,8.882292249225637,10.583904016375513,13.909607689922227,0.8238292084271599,0.981653048923248,1.2901107924837731,0.9240506329113924,0.9493670886075949,1.0,0.08097539508355317,0.08471596507226334,0.0840848076796975,0.11763430819264625,0.11872313667331262,0.1149512055672322
GP,1.5,1.0,8.654040477494062,10.31192525506137,13.552167007918932,0.5729727370378261,0.6827391266412118,0.8972713085309644,0.9367088607594937,0.9493670886075949,1.0,0.19618202165232637,0.19180327943289313,0.18709014556092785,0.22344271959411907,0.22014397447262482,0.22834719354090569
GP,2.5,1.0,8.660961828444568,10.320172553401518,13.563005795216672,0.49771086606225484,0.5930590760250297,0.7794117436904807,0.9113924050632911,0.9493670886075949,1.0,0.2100168105957488,0.21100495876263448,0.20493559941296682,0.2060623636519862,0.2081951325053844,0.21626526496954945
J+,0.5,1.0,8.082352957766345,10.77870217475274,19.716051914744405,0.03968133576664187,0.10057001537972333,0.3152155061958884,0.9113924050632911,0.9493670886075949,1.0,0.15009505906381618,-0.26122636833467405,0.09119514322322662,0.17510748236243195,-0.30817028921599304,0.17615928770519698
J+,1.5,1.0,8.202106150974172,10.772723734771645,19.337324880500116,0.022993940394215436,0.06829518690075272,0.08830771006716394,0.9113924050632911,0.9493670886075949,1.0,-0.1789698972877716,-0.05526698875778915,0.11398238833037501,-0.10132002344344736,-0.3099740007704227,0.3640437434580703
J+,2.5,1.0,8.017605535026316,10.755698414166226,19.765066196481403,0.06722869600688952,0.08288404663798281,0.27700506120591467,0.9113924050632911,0.9367088607594937,1.0,0.17186425675468675,-0.030678515026490362,0.06773318758835396,0.11115933386365023,-0.04491134403145272,0.16785316477430973
J+GP,0.5,0.5,8.02285537962211,10.671133174544536,18.935575005085685,0.2570732784254686,0.2785187546008806,0.8416561583534001,0.9113924050632911,0.9493670886075949,1.0,0.22461126727606356,0.07748240197383151,0.3275331796560414,0.24013347431405405,0.0893939127917337,0.2728913907971206
J+GP,0.5,1.0,8.17842853876565,11.191036696884431,19.519304508144298,0.7649735998896746,1.022313916195212,1.8173516333304018,0.8860759493670886,0.9493670886075949,1.0,0.08698102366998355,0.06815351079497567,0.07333288948640766,0.11508296921540193,0.09112346920300689,0.10617354948031155
J+GP,0.5,1.5,8.241065204523677,11.09433748354101,20.563647331999064,1.18713223833805,1.5687258058595304,2.9151138285249347,0.8860759493670886,0.9493670886075949,1.0,0.07677859658005332,0.09201367421399825,0.04888363057662322,0.11690688584334213,0.12194270566387137,0.08957742617608616
J+GP,1.5,0.5,8.145667106886844,10.810601306968652,18.58962528088034,0.39068686698119487,0.4980806938470275,0.9483871482219942,0.8987341772151899,0.9493670886075949,1.0,0.09631934743831787,0.08357881094300279,0.13165850882953467,0.12566582444298127,0.10181584344767504,0.1760155698969421
J+GP,1.5,1.0,7.976733464285948,10.785928973135753,19.352949934174283,0.543485978103186,0.7215403096509909,1.512325570173199,0.8987341772151899,0.9493670886075949,1.0,0.19162847439043795,0.24473676073286618,0.22345489297471285,0.21778787370822453,0.23600834256677597,0.22238673929747424
J+GP,1.5,1.5,8.112721845299813,10.596848808640159,19.769811802864673,0.8407517648557062,1.087831486565373,2.313367773241973,0.8987341772151899,0.9493670886075949,1.0,0.18934660321733554,0.2402369555322976,0.2144730457815003,0.21718079694593512,0.23457860837905023,0.2095681592979903
J+GP,2.5,0.5,7.946462036395058,10.801384878311715,19.019929854769444,0.27036473259689975,0.3533927408600952,0.8828772745883554,0.9113924050632911,0.9367088607594937,1.0,0.16964420506642372,0.17504323031869018,0.25838698407841454,0.20974351857571163,0.18680099472158754,0.26304471916755795
J+GP,2.5,1.0,8.041753666688992,10.547606210967803,19.033083635747328,0.4790231179644128,0.5933560320834375,1.352210545097588,0.9113924050632911,0.9493670886075949,1.0,0.21138730938339434,0.20076223263167634,0.25810228160022536,0.21797625149296543,0.19638054928280654,0.23631194155833052
J+GP,2.5,1.5,8.071623855486767,10.542113285251792,19.243858936275767,0.7185634581440188,0.9663093555140326,2.005329987111196,0.8987341772151899,0.9493670886075949,1.0,0.2152055464764057,0.24406375848822684,0.24134916606657805,0.20402145905403346,0.2174781561611605,0.22240588122876961
J-minmax-GP,0.5,0.5,8.941747720824093,11.673053670807853,19.636084248987718,0.7754295381677099,0.8269863556066152,1.0720253565653226,0.9493670886075949,0.9620253164556962,1.0,0.3986246239815649,0.3988765106888091,0.3810715952369051,0.4363841208170763,0.42604596393004374,0.38669367171291824
J-minmax-GP,0.5,1.0,9.218995025074491,12.33163948804258,20.595156982860058,1.1199177665474718,1.3593200325799073,2.0708589762760177,0.9620253164556962,0.9620253164556962,1.0,0.2939980064764494,0.23371787170046612,0.18241536509530837,0.4240792282220758,0.37902901050395454,0.29624882118156404
J-minmax-GP,0.5,1.5,9.275201134816834,12.141556945480172,21.70255859809065,1.473739431273278,1.8362836900582007,3.1312036675779065,0.9620253164556962,0.9620253164556962,1.0,0.24202119233221878,0.19397425041554386,0.15653743247651786,0.3607950606525468,0.31294053448718195,0.24106537581591592
J-minmax-GP,1.5,0.5,9.175189533694207,11.873556810345399,19.587415076529965,0.8465174296843699,0.9227259255023064,1.1980326483408978,0.9493670886075949,0.9746835443037974,1.0,0.36642002128388484,0.3373396504191782,0.26788635763104107,0.5105798941778397,0.4790635526835996,0.4055888540489262
J-minmax-GP,1.5,1.0,8.962919796117573,11.752803625697851,20.300625086065484,1.0309701450621114,1.1432364328228797,1.8543252266311248,0.9493670886075949,0.9620253164556962,1.0,0.3732305894002474,0.3668552368879802,0.3034035737040147,0.44550678488162127,0.4328217623210044,0.356319558655211
J-minmax-GP,1.5,1.5,9.120141040418272,11.493796231836988,20.75139633133412,1.2800263875485807,1.462181776756687,2.6640188179289734,0.9493670886075949,0.9620253164556962,1.0,0.35304842654409646,0.33347639624559994,0.2801322955964186,0.4133952290225144,0.3932714143640292,0.3190437648354282
J-minmax-GP,2.5,0.5,8.95990465971889,11.83305240654895,19.886932888557414,0.8199822047709406,0.9061795820030216,1.1619090538817234,0.9493670886075949,0.9620253164556962,1.0,0.4009793152305138,0.39523029224934064,0.34642210546621577,0.48872186485357266,0.46754644102435355,0.4182470275432934
J-minmax-GP,2.5,1.0,8.98816937149663,11.541514500487693,19.858172274499328,0.9566779762598645,1.0479436208731756,1.659106938664335,0.9493670886075949,0.9620253164556962,1.0,0.389826451640161,0.38689141435256746,0.3332165486735075,0.4068465182652927,0.3934197895369626,0.3296454462034261
J-minmax-GP,2.5,1.5,8.971975884124197,11.430315926991842,20.10586119928895,1.169160769193933,1.39259182708456,2.330520645509306,0.9493670886075949,0.9620253164556962,1.0,0.3749423600587084,0.3631137994440097,0.30755621102064395,0.37464908143270326,0.3556134076746484,0.2945435084596129
