,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,24.644574002265596,29.365821169325095,38.5932309406568,1.0607515752071,1.2639634614803266,1.6611295658374814,0.26666666666666666,0.3,0.38,0.13248576075512875,0.13514732845111588,0.13549938820078775,0.17263974249526104,0.1727223449688189,0.17291189965074596
GP,1.5,1.0,20.99023581147229,25.011408640498015,32.87056283044386,1.5567258432960953,1.8549532533894553,2.4378218092181956,0.25333333333333335,0.2866666666666667,0.36666666666666664,0.11383675802271898,0.10741827608128972,0.10835831024801175,0.15658548216727872,0.15909850316469726,0.1586952451302272
GP,2.5,1.0,19.925325670274276,23.742489942006955,31.202920979279224,1.7238770218474213,2.0541261673594495,2.699579388604284,0.24666666666666667,0.28,0.36,0.10555645118299575,0.10663764961372726,0.0993107492827145,0.15233140860205444,0.15906823922398183,0.15627275923117825
J+,0.5,1.0,133.32965771564142,155.60536226284475,203.98933572399298,0.09451832921276068,0.10130077237148018,2.9989056412857763e-14,0.9,0.9466666666666667,1.0,0.08362855522960262,0.045340973757982274,0.06629701082165142,0.09055038108984663,0.07637373391163946,0.02339558966441157
J+,1.5,1.0,121.96890575116049,144.0989952411376,186.96049967767803,0.17809069757815763,0.18837022235744852,3.087387907271538e-14,0.9,0.96,0.9933333333333333,0.009835455323435572,-0.13552304517599997,-0.015117056965287345,0.04817912129152744,-0.1373018424502453,-0.015465668807426261
J+,2.5,1.0,119.27621273261599,141.25740267693473,182.02726850953505,0.1053591888621172,0.16215667568894995,3.025722022712086e-14,0.9,0.96,0.9933333333333333,-0.014792430021131009,0.08055932853187879,0.014393598605961502,-0.0016029483383823444,0.06825935038485917,0.00913594600539466
J+GP,0.5,0.5,131.96043277846096,154.92019034118016,203.0771840798579,2.8306149781613814,3.3139989027780357,4.362628681154535,0.9066666666666666,0.9466666666666667,1.0,0.13405590713648108,0.13185673171423434,0.13072251929883064,0.17111919965805697,0.16871861778242675,0.17268678552207134
J+GP,0.5,1.0,130.3709439428554,155.4755227286389,203.33494929630555,5.60782519662729,6.699040295506915,8.751743289064315,0.9,0.96,1.0,0.13604499218781985,0.13760904317553474,0.1347839787568706,0.1689179120881384,0.17492557501182288,0.17542923619851683
J+GP,0.5,1.5,128.8701108688156,155.3746288476374,207.1410139031747,8.343638019929907,10.045415124929965,13.409974064546667,0.8933333333333333,0.9533333333333334,1.0,0.13732484233193182,0.1364497926729428,0.13544699937044713,0.16602098914754757,0.16513031458803795,0.17434159185891154
J+GP,1.5,0.5,120.36041768107113,142.4938557354571,184.68198741388866,4.4308995818275525,5.277889462727828,6.833857908611435,0.9,0.9533333333333334,1.0,0.11366520495198659,0.1168999476679717,0.11272257900686285,0.15237523203103906,0.1502993233177651,0.15932095598015553
J+GP,1.5,1.0,119.59914616209137,141.52373202645006,187.20456233544536,8.869946860427731,10.523064255314,13.8763958809563,0.9066666666666666,0.9533333333333334,1.0,0.11203028922597358,0.11028543343162722,0.11583666517064418,0.1567778090447204,0.1556189870989163,0.1563447140296411
J+GP,1.5,1.5,119.47229835718596,139.72957667094175,190.40309947554104,13.283249392454245,15.537552961519939,21.206043676433794,0.9133333333333333,0.9466666666666667,1.0,0.11329046741905945,0.10802378972684624,0.11146566958770977,0.15543409444135595,0.15646621824925128,0.15790002692453228
J+GP,2.5,0.5,117.56603552152588,139.00035413354297,179.26657468923761,5.079619427620772,6.006381851869689,7.742904029157979,0.9,0.9533333333333334,1.0,0.09782653841022426,0.10474219759695814,0.10255365637505814,0.15307393338738404,0.15683051175895493,0.1562412626585038
J+GP,2.5,1.0,118.13204355392949,137.82310179667556,182.55902085860802,10.224545697481043,11.90765650413356,15.786925481546518,0.9066666666666666,0.9533333333333334,1.0,0.10582039934278172,0.10796042415656742,0.09865125873341163,0.15910688691371938,0.15354056495323298,0.1573383616390739
J+GP,2.5,1.5,116.03029220729533,135.72693770083075,181.64984295795327,15.09100025685109,17.625652551183187,23.611144033448443,0.9066666666666666,0.94,1.0,0.09957855399401351,0.10310367604550363,0.1020918250149639,0.15075732400073014,0.15455689818258786,0.1539512271240634
J-minmax-GP,0.5,0.5,134.18911561628178,157.14941535729284,205.306205452572,3.074649131522916,3.5660475200036914,4.585736959920214,0.9066666666666666,0.96,1.0,0.11220410382086307,0.10840841977821011,0.11070234027277949,0.14507452403018853,0.15164207869435126,0.15556385363907982
J-minmax-GP,0.5,1.0,132.5998637298588,157.69273700304933,205.5469921478592,5.817508466819186,6.8979218591680285,8.945166669051085,0.9133333333333333,0.96,1.0,0.11948431274563887,0.12153731781696733,0.12443152718086169,0.15452198466205666,0.1616165558284927,0.1629576956915421
J-minmax-GP,0.5,1.5,131.0603651013775,157.7418800386348,209.3700352758888,8.533211268183043,10.264706465166379,13.595980658099943,0.9,0.96,1.0,0.12473955379652045,0.12950387187901752,0.12745795989204317,0.16444519755647174,0.1634611059385851,0.16345652097170246
