,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,27.31275310629928,32.54515266880973,42.771580801504065,1.7340826254524109,2.0662868941125936,2.7155612926445043,0.9833333333333333,1.0,1.0,0.19308635269929347,0.19558123824499235,0.1968582437716361,0.4208642971402804,0.4183562293217243,0.4177439344965587
GP,1.5,1.0,11.318822763799064,13.487209196574176,17.725197475902913,2.0082192566952832,2.392940837828535,3.144857344500666,1.0,1.0,1.0,0.32531630019183977,0.332612343096732,0.3272649968802577,0.484326092328431,0.4855578948336522,0.4848477114206012
GP,2.5,1.0,6.2957652413836325,7.501866990499749,9.859124442018823,1.6750304772539686,1.995921919514102,2.62308604057664,1.0,1.0,1.0,0.34759462359394583,0.35427510389901345,0.35010874274242454,0.5142782638283349,0.5164718580872447,0.5157949885742102
J+,0.5,1.0,3.3374697820869814,5.0051876398740776,7.932790335731126,0.02206181812136859,0.04272754475600288,0.09203830868915805,0.9333333333333333,0.975,0.9916666666666667,0.19571937631769615,-0.19102374444031295,-0.13493380712073041,0.2429562883027109,-0.1946021261180399,-0.3135800689443378
J+,1.5,1.0,12.923353018883917,18.22838856979588,32.3593554384228,0.040888089453438005,0.09329817915896925,0.4621466938969355,0.9166666666666666,0.9583333333333334,0.9916666666666667,-0.08501526591815985,-0.08089177523202994,-0.21154881300752074,-0.11431294388210578,-0.061360324221255765,-0.3292285465612898
J+,2.5,1.0,5.660383110320476,8.522708808981452,14.084050870573796,0.03153475049698455,0.04718591251510282,0.20992327733894714,0.925,0.975,0.9916666666666667,0.1176227175706139,-0.045757230555102675,-0.24339687286574757,-0.010319706721563996,-0.013901979447960854,-0.35770859386931947
J+GP,0.5,0.5,3.746331984641652,4.7735416715198475,7.607305067535025,0.6547934630957081,0.7783601201714965,1.1320349685606288,0.9666666666666667,0.9833333333333333,1.0,0.3985535142495531,0.39397953395357477,0.37498984727755913,0.5933227411723416,0.5835101302203541,0.5603385588537135
J+GP,0.5,1.0,13.208067564914753,18.048549638865484,29.819019360143553,1.220650812015259,1.4875980863219571,2.176109941235,0.9166666666666666,0.9583333333333334,0.9916666666666667,0.3256893255941464,0.3039569354770501,0.2703896281373705,0.5629130368259215,0.5558725090486945,0.5157523250818956
J+GP,0.5,1.5,13.284616285372529,17.454085683201086,27.65082580978882,1.554927567113464,1.926696539066036,2.8579127023880813,0.925,0.95,0.9916666666666667,0.3045886538676292,0.28945875628271067,0.25397492786253556,0.5536810166322338,0.5378136858249946,0.5048628120670521
J+GP,1.5,0.5,13.60680503880053,18.772278742422433,32.19689576655932,0.9433759298592391,1.0620736360226029,1.4103669717271818,0.9166666666666666,0.9583333333333334,0.9916666666666667,0.3443352829955742,0.3361818657061823,0.3041207356294467,0.5717284186548459,0.567371538251603,0.5504859056357785
J+GP,1.5,1.0,5.881382173088597,7.685391354444236,11.74655463583653,1.1824037482789043,1.484728804835166,2.1843071385873096,0.9416666666666667,0.9833333333333333,1.0,0.3611171764839448,0.34799584244903164,0.33708560035401225,0.5608866428753417,0.5512283974094186,0.5379585382692786
J+GP,1.5,1.5,5.755989963394233,7.193587440778304,11.553091678020508,1.5784374004617858,1.9518087315861956,3.113678187532754,0.9333333333333333,0.975,1.0,0.35122891029109693,0.34731488920209147,0.3333775608102298,0.5633077388441291,0.5545401616194809,0.5395783304088599
J+GP,2.5,0.5,6.142828036185703,8.474712907386392,12.57914249477235,0.8030680782238334,0.9815210847650786,1.3177209073738412,0.9416666666666667,0.9833333333333333,1.0,0.3668251322686368,0.36481421499686373,0.34774628495894916,0.5509347912164995,0.557902395210952,0.544248213095588
J+GP,2.5,1.0,3.5917256773652158,4.495167852399817,6.835456447520103,1.0093586820068596,1.2412400529330734,1.8563892262573745,0.975,0.9916666666666667,1.0,0.38687093128714134,0.37935488970457937,0.36780670339384036,0.5916858514687163,0.5761194714898604,0.563755932652852
J+GP,2.5,1.5,3.630106540362961,4.437261659048365,6.450419150974252,1.4175016299430658,1.7379351743491387,2.544056657857919,0.9833333333333333,0.9916666666666667,1.0,0.36909533950514467,0.3663345464169819,0.3685621048327961,0.5860284108382228,0.5826345774181483,0.5738595543467032
J-minmax-GP,0.5,0.5,3.746331984641652,4.7735416715198475,7.607305067535025,0.6547934630957081,0.7783601201714965,1.1320349685606288,0.9666666666666667,0.9833333333333333,1.0,0.40167279321787597,0.39362959766005273,0.36992464504813555,0.594223132011503,0.5833135896148862,0.5654028601823586
J-minmax-GP,0.5,1.0,13.208067564914753,18.048549638865484,29.819019360143553,1.220650812015259,1.4875980863219571,2.176109941235,0.9166666666666666,0.9583333333333334,0.9916666666666667,0.32844143078591437,0.30505669876544983,0.27168387088503254,0.5580887057796897,0.5544701121176553,0.5170826302992073
J-minmax-GP,0.5,1.5,13.284616285372529,17.454085683201086,27.65082580978882,1.554927567113464,1.926696539066036,2.8579127023880813,0.925,0.95,0.9916666666666667,0.30136869276707406,0.2873484555432721,0.2531007546975256,0.5531696701938076,0.5384938348545393,0.5035711229623924
